UKB Entry	SNOMED CT ID	SNOMED CT CONCEPT ID	SNOMED CT DESCRIPTION
keftid 500mg capsule	6689601000001111	2897401000001108	keftid 500mg capsule
kefzol 1g injection (pdr for recon)	4440101000001111	369201000001102	kefzol 1g injection (pdr for recon)
kefzol 500mg injection (pdr for recon)	4395301000001119	299301000001103	kefzol 500mg injection (pdr for recon)
kelferon 225mg tablet	5861101000001110	1998101000001109	kelferon 225mg tablet
kelfizine w 2g tablet	4630201000001119	659701000001105	kelfizine w 2g tablet
kelfolate tablet	5861601000001118	1998601000001100	kelfolate tablet
keloc sr 5mg m/r tablet	13329801000001118	4460101000001102	keloc sr 5mg m/r tablet
kemadrin 5mg tablet	4675001000001116	730001000001107	kemadrin 5mg tablet
kemicetine 1g injection (pdr for recon)	4484301000001111	439701000001108	kemicetine 1g injection (pdr for recon)
kentace 1.5mg tablet	6584201000001115	2773701000001103	kentace 1.5mg tablet
kentiazem 60mg m/r capsule	6377001000001113	2561801000001101	kentiazem 60mg m/r capsule
kentipine mr 10mg m/r tablet	13106901000001118	4394401000001105	kentipine mr 10mg m/r tablet
kentovace 500micrograms tablet	6583301000001110	2772801000001103	kentovace 500micrograms tablet
keppra 250mg tablet	7536701000001113	3818601000001103	keppra 250mg tablet
keral 25mg tablet	7296701000001112	3552301000001102	keral 25mg tablet
keralyt 6% gel	10505401000001112	1906301000001105	keralyt 6% gel
kerecid eye drops	10511001000001119	2307001000001103	kerecid eye drops
kerecid eye ointment	10511101000001118	1909501000001109	kerecid eye ointment
kerfoot hydrocortisone cream	11494301000001118	109001000001102	kerfoot hydrocortisone cream
keri lotion	10326201000001113	518001000001101	keri lotion
kerlone 20mg tablet	4713401000001113	790101000001104	kerlone 20mg tablet
kerymax 250mg e/c granules in capsule	12973201000001117	4278701000001108	kerymax 250mg e/c granules in capsule
kest tablet	4760201000001116	852601000001102	kest tablet
ketanodur 60mg m/r tablet	6621801000001119	2814901000001105	ketanodur 60mg m/r tablet
ketazolam	108186001000001114	321288000	ketazolam
ketek 400mg tablet	7735801000001114	4032901000001102	ketek 400mg tablet
ketil 2.5% gel	11292501000001115	3547401000001105	ketil 2.5% gel
ketil cr 100mg m/r capsule	8651001000001117	3493201000001102	ketil cr 100mg m/r capsule
ketocid 200 m/r capsule	6263201000001113	2429001000001105	ketocid 200 m/r capsule
ketoconazole	107606701000001118	40232005	ketoconazole
ketoconazole 100mg/5ml oral suspension	15736201000001118	8581711000001101	ketoconazole 100mg/5ml oral suspension
ketoconazole 2% cream	107773701000001114	332904001	ketoconazole 2% cream
ketonal 50mg capsule	4633601000001110	664601000001109	ketonal 50mg capsule
ketopine 2% shampoo	13103601000001118	4390501000001104	ketopine 2% shampoo
ketoprofen	107592801000001116	10099000	ketoprofen
ketoprofen 2.5% gel	107758401000001111	330203006	ketoprofen 2.5% gel
ketorolac	107639901000001115	108512006	ketorolac
ketotard 200 xl m/r capsule	6629101000001114	2824701000001103	ketotard 200 xl m/r capsule
ketotifen	107800401000001118	354038002	ketotifen
ketovail 100mg m/r capsule	4675801000001111	731501000001106	ketovail 100mg m/r capsule
ketovite tablet	4356501000001110	238801000001108	ketovite tablet
ketozip cr 200mg m/r capsule	6282301000001112	2450901000001103	ketozip cr 200mg m/r capsule
ketpron xl 100mg m/r capsule	7197301000001114	3442301000001105	ketpron xl 100mg m/r capsule
kiditard 250mg m/r capsule	5788001000001119	1924601000001102	kiditard 250mg m/r capsule
kiflone 125mg/5ml syrup	6583001000001112	2772501000001101	kiflone 125mg/5ml syrup
kiflone 250mg capsule	6582701000001117	2772201000001104	kiflone 250mg capsule
kiflone 250mg/5ml syrup	6582901000001115	2772401000001100	kiflone 250mg/5ml syrup
kiflone 500mg capsule	6582801000001114	2772301000001108	kiflone 500mg capsule
kiflone 500mg tablet	6582601000001110	2772101000001106	kiflone 500mg tablet
kineret 100mg/0.67ml injection prefilled syringe	12538601000001116	4094101000001103	kineret 100mg/0.67ml injection prefilled syringe
kinidin 250mg durule	4417901000001115	334701000001103	kinidin 250mg durule
klaricid 125mg/5ml paediatric suspension	4464501000001118	407401000001103	klaricid 125mg/5ml paediatric suspension
klaricid 250mg tablet	10389801000001111	309601000001104	klaricid 250mg tablet
klaricid 250mg/5ml paediatric suspension	7301701000001112	3558901000001103	klaricid 250mg/5ml paediatric suspension
klaricid 500mg tablet	6182501000001115	2333001000001103	klaricid 500mg tablet
klaricid adult 250mg/sachet granules	6820401000001115	3045701000001107	klaricid adult 250mg/sachet granules
klaricid iv 500mg injection (pdr for recon)	4945701000001116	1062701000001104	klaricid iv 500mg injection (pdr for recon)
klaricid xl 500mg m/r tablet	6689901000001116	2897801000001105	klaricid xl 500mg m/r tablet
klean-prep oral powder	4461901000001111	403201000001107	klean-prep oral powder
kliofem tablet	6272001000001119	2438901000001102	kliofem tablet
kliovance 1mg/0.5mg tablet	7188101000001112	3431301000001101	kliovance 1mg/0.5mg tablet
kln mixture	4455501000001114	393301000001105	kln mixture
kloref 500mg effervescent tablet	4514101000001118	484301000001102	kloref 500mg effervescent tablet
klyx enema	10497501000001114	1903001000001103	klyx enema
kolanticon gel	4471401000001114	417601000001103	kolanticon gel
kolantyl gel	4755901000001111	847701000001107	kolantyl gel
komil 5/40 tablet	12501601000001119	4125501000001107	komil 5/40 tablet
konakion 10mg tablet	4446401000001115	379801000001109	konakion 10mg tablet
konsyl dex 3.4g/sachet powder	6206601000001116	2359701000001104	konsyl dex 3.4g/sachet powder
kwells tablet	10389901000001117	449901000001106	kwells tablet
kytril 1mg tablet	4948201000001116	1065501000001103	kytril 1mg tablet
labetalol	107609801000001115	46547007	labetalol
labiton tonic	4984301000001114	1119401000001105	labiton tonic
laboprin 300mg tablet	4783901000001119	880101000001103	laboprin 300mg tablet
laboprin dl 900mg sachet	4928901000001112	1042801000001100	laboprin dl 900mg sachet
labosept pastille	4476201000001118	426501000001106	labosept pastille
labrocol 100mg tablet	4713501000001112	790401000001105	labrocol 100mg tablet
lachesine chloride	108241501000001116	330572001	lachesine chloride
lacidipine	107678001000001111	319299000	lacidipine
lacri-lube eye ointment	10295001000001112	272401000001106	lacri-lube eye ointment
lactic sal	12371701000001115	2492301000001107	lactic sal
lacticare lotion	10326301000001116	657901000001104	lacticare lotion
lactitol	107666401000001114	317599009	lactitol
lactugal solution	4729401000001115	814201000001104	lactugal solution
ladropen 125mg/5ml suspension	10385001000001118	565901000001108	ladropen 125mg/5ml suspension
ladropen 250mg capsule	4359701000001110	243701000001107	ladropen 250mg capsule
ladropen 250mg injection	5883001000001113	2020701000001109	ladropen 250mg injection
ladropen 500mg capsule	4404701000001111	314401000001103	ladropen 500mg capsule
ladropen 500mg injection (pdr for recon)	5883101000001114	2020801000001100	ladropen 500mg injection (pdr for recon)
lamictal 25mg tablet	4491301000001112	450301000001103	lamictal 25mg tablet
lamisil 1% cream	10279401000001111	258101000001104	lamisil 1% cream
lamisil 250mg tablet	10390101000001110	520601000001100	lamisil 250mg tablet
lamisil at 1% cream	11364501000001118	3864101000001101	lamisil at 1% cream
lamisil at 1% gel	13399401000001114	4525401000001103	lamisil at 1% gel
lamisil at 1% spray	12562701000001117	4088301000001106	lamisil at 1% spray
lamivudine	107644701000001117	108698001	lamivudine
lamotrigine	107633601000001113	96195007	lamotrigine
lamprene 100mg capsule	4449801000001113	384801000001103	lamprene 100mg capsule
lanacort cream	4459101000001119	399201000001104	lanacort cream
lanatoside c	108077301000001110	60541005	lanatoside c
lanitop 100micrograms tablet	4273201000001113	107701000001109	lanitop 100micrograms tablet
lanoxin-pg 62.5micrograms tablet	4312201000001118	166601000001100	lanoxin-pg 62.5micrograms tablet
lanreotide	107747201000001110	327379003	lanreotide
lansoprazole	107643901000001117	108666007	lansoprazole
lanvis 40mg tablet	4357101000001119	239601000001104	lanvis 40mg tablet
laracor 20mg tablet	5789501000001116	1926101000001103	laracor 20mg tablet
laractone 25mg tablet	5786601000001114	1923201000001102	laractone 25mg tablet
larafen cr 200mg m/r capsule	4967301000001118	1091101000001108	larafen cr 200mg m/r capsule
laraflex 250mg tablet	4402201000001113	310401000001105	laraflex 250mg tablet
larapam 10mg capsule	4494801000001117	454901000001108	larapam 10mg capsule
laratrim 160mg/800mg tablet	4491601000001118	450701000001104	laratrim 160mg/800mg tablet
laratrim 480mg tablet	5840201000001118	1977201000001106	laratrim 480mg tablet
laratrim adult suspension	4625501000001112	653101000001106	laratrim adult suspension
laratrim paediatric syrup	4692101000001118	757401000001104	laratrim paediatric syrup
largactil 10mg tablet	4537901000001119	521001000001103	largactil 10mg tablet
lariam 250mg tablet	4218501000001114	19001000001107	lariam 250mg tablet
larodopa 500mg tablet	4635701000001116	668101000001107	larodopa 500mg tablet
lasikal m/r tablet	4221501000001111	24501000001109	lasikal m/r tablet
lasilactone capsule	4587101000001110	594801000001100	lasilactone capsule
lasipressin tablet	4262101000001118	89701000001106	lasipressin tablet
lasix 20mg tablet	4312601000001116	167101000001107	lasix 20mg tablet
lasix+k tablet combination pack	10390201000001115	381001000001107	lasix+k tablet combination pack
lasma 300mg m/r tablet	4265001000001113	95201000001100	lasma 300mg m/r tablet
lasonil ointment 14g	5958801000001111	2095601000001102	lasonil ointment 14g
lasoride tablet	4491801000001119	451101000001107	lasoride tablet
lassar's paste	12363901000001113	758901000001109	lassar's paste
lassar's paste half strength	12364101000001112	3552501000001109	lassar's paste half strength
latamoxef	108271601000001118	350135006	latamoxef
latanoprost	107648401000001119	108838001	latanoprost
laxoberal 5mg/5ml elixir	7811801000001119	851101000001100	laxoberal 5mg/5ml elixir
laxoberal 5mg/5ml liquid	4759001000001114	851101000001100	laxoberal 5mg/5ml liquid
laxose solution	4242901000001112	59701000001101	laxose solution
ledercort 0.1% cream	10279501000001110	468701000001105	ledercort 0.1% cream
ledercort 2mg tablet	4538101000001116	521401000001108	ledercort 2mg tablet
lederfen 300mg tablet	4631301000001117	661301000001101	lederfen 300mg tablet
ledermycin 150mg capsule	4678301000001111	735301000001102	ledermycin 150mg capsule
ledermycin 300mg tablet	5836601000001115	1973601000001104	ledermycin 300mg tablet
leflunomide	107654101000001115	109143003	leflunomide
lejfibre 10g biscuits	5783001000001110	1919401000001108	lejfibre 10g biscuits
lejguar 90% granules	5847201000001119	1984201000001108	lejguar 90% granules
lemlax liquid	6772801000001115	2992201000001100	lemlax liquid
lemsip flu 12hr ibuprofen+pseudoephedrine capsule	13110101000001116	4398001000001105	lemsip flu 12hr ibuprofen+pseudoephedrine capsule
lemsip max sinus all night decongestant 0.05% nasal spray	13585601000001110	8550101000001102	lemsip max sinus all night decongestant 0.05% nasal spray
lemsip pharmacy non-decongestant formula sachet powder	7683101000001118	3976501000001104	lemsip pharmacy non-decongestant formula sachet powder
lemsip sachet	6216301000001113	2371501000001106	lemsip sachet
lenium 2.5% shampoo	10505501000001111	1127501000001107	lenium 2.5% shampoo
lenium cream	10279601000001114	539301000001104	lenium cream
lentizol 25mg m/r capsule	4262201000001113	90001000001104	lentizol 25mg m/r capsule
leo-k 600mg m/r tablet	4812201000001116	912201000001100	leo-k 600mg m/r tablet
lercanidipine	107802201000001116	356862006	lercanidipine
lergoban 5mg m/r tablet	5805101000001111	1941801000001103	lergoban 5mg m/r tablet
lescol 20mg capsule	4972501000001119	1099301000001109	lescol 20mg capsule
letrozole	107646401000001115	108777007	letrozole
leukeran 2mg tablet	4713701000001118	790701000001103	leukeran 2mg tablet
leuprorelin	107797601000001116	350364005	leuprorelin
levamisole	107613401000001116	54391004	levamisole
levetiracetam	107655601000001113	116076009	levetiracetam
levitra 10mg tablet	12986201000001118	4291801000001102	levitra 10mg tablet
levitra 20mg tablet	12995101000001119	4301001000001101	levitra 20mg tablet
levitra 5mg tablet	12986101000001113	4291701000001106	levitra 5mg tablet
levius 500mg m/r tablet	4784001000001116	880201000001105	levius 500mg m/r tablet
levobunolol	107795501000001113	349903009	levobunolol
levocabastine	107649101000001117	108863001	levocabastine
levocetirizine	107811701000001119	391595003	levocetirizine
levodopa	107595701000001115	15383004	levodopa
levodopa+careldopa+entacapone	13398401000001117	4519401000001107	levodopa+careldopa+entacapone
levofloxacin	107632901000001114	96087006	levofloxacin
levomepromazine	108099901000001114	89029005	levomepromazine
levonelle 750micrograms tablet	7567601000001111	3852001000001101	levonelle 750micrograms tablet
levonorgestrel	105030301000001115	109032009	levonorgestrel
levorphanol	108067501000001112	50335004	levorphanol
lexotan 1.5mg tablet	4402801000001114	311201000001104	lexotan 1.5mg tablet
lexpec 2.5mg/5ml sugar free syrup	4569201000001113	567701000001104	lexpec 2.5mg/5ml sugar free syrup
lexpec with iron syrup	4615901000001111	637601000001107	lexpec with iron syrup
li-liquid 5.4mmol/5ml oral solution	4329301000001110	192901000001106	li-liquid 5.4mmol/5ml oral solution
li-liquid 509mg/5ml oral solution	8085701000001119	192901000001106	li-liquid 509mg/5ml oral solution
libanil 2.5mg tablet	5966301000001112	2104801000001106	libanil 2.5mg tablet
libetist 2mg/5ml sugar free syrup	6597401000001114	2788001000001100	libetist 2mg/5ml sugar free syrup
libraxin tablet	4756401000001112	848201000001100	libraxin tablet
librium 5mg tablet	4492101000001116	451501000001102	librium 5mg tablet
librofem 200mg tablet	7339101000001117	3599301000001100	librofem 200mg tablet
lidifen 200mg tablet	4631501000001112	661701000001102	lidifen 200mg tablet
lidoflazine	108153401000001117	319206000	lidoflazine
limbitrol 10 capsule	4782001000001111	878101000001106	limbitrol 10 capsule
limbitrol-5 capsule	4405001000001113	314801000001101	limbitrol-5 capsule
lincocin 250mg/5ml syrup	5839001000001116	1976001000001103	lincocin 250mg/5ml syrup
lincocin 500mg capsule	5838901000001114	1975901000001107	lincocin 500mg capsule
lincomycin	108017801000001111	2596005	lincomycin
linezolid	107658601000001118	125695009	linezolid
lingam 40mg capsule	6783501000001116	3004301000001101	lingam 40mg capsule
lingraine 2mg sublingual tablet	4702801000001115	773301000001101	lingraine 2mg sublingual tablet
lioresal 10mg tablet	4262501000001111	90501000001108	lioresal 10mg tablet
lioresal 5mg/5ml s/f liquid	4563201000001111	558401000001104	lioresal 5mg/5ml s/f liquid
lioresal intrathecal 10mg/20ml injection	6265301000001115	2431501000001104	lioresal intrathecal 10mg/20ml injection
lioresal intrathecal 10mg/5ml injection	6265201000001112	2431401000001103	lioresal intrathecal 10mg/5ml injection
lioresal intrathecal 50micrograms/1ml injection	6265101000001117	2431301000001106	lioresal intrathecal 50micrograms/1ml injection
liothyronine	107797401000001119	350358003	liothyronine
lipantil micro 67mg capsule	7072901000001112	3302401000001102	lipantil micro 67mg capsule
liparol xl 400mg m/r tablet	7446801000001114	3719901000001104	liparol xl 400mg m/r tablet
lipitor 10mg tablet	6691801000001110	2900201000001104	lipitor 10mg tablet
lipobase cream	10279701000001116	799101000001105	lipobase cream
lipoflavonoid capsule	4983101000001110	1118101000001107	lipoflavonoid capsule
liposic eye gel	12558501000001116	4122601000001101	liposic eye gel
lipostat 10mg tablet	4600701000001118	614701000001103	lipostat 10mg tablet
lipotriad capsule	4983201000001115	1118201000001100	lipotriad capsule
liquid paraffin	107800201000001117	354035004	liquid paraffin
liquid paraffin+magnesium hydroxide oral emulsion bp	49286301000001115	9730701000001104	liquid paraffin+magnesium hydroxide oral emulsion bp
liquifilm tears 1.4% eye drops	10290901000001118	478401000001107	liquifilm tears 1.4% eye drops
liquivisc 0.25% eye gel	13386501000001118	4522701000001100	liquivisc 0.25% eye gel
liquorice	108142801000001114	317272008	liquorice
lisicostad hct 10/12.5mg tablet	13728001000001115	8557801000001109	lisicostad hct 10/12.5mg tablet
lisinopril	107641601000001113	108575001	lisinopril
liskonum 450mg m/r tablet	4623301000001118	649501000001101	liskonum 450mg m/r tablet
lisuride	107795201000001110	349894007	lisuride
litarex 564mg m/r tablet	4316301000001114	173401000001104	litarex 564mg m/r tablet
lithofalk tablet	5883701000001110	2021401000001107	lithofalk tablet
lithonate 400mg m/r tablet	6204401000001111	2357201000001100	lithonate 400mg m/r tablet
livial 2.5mg tablet	10390301000001112	732401000001101	livial 2.5mg tablet
livostin 0.5mg/ml eye drops	11046301000001112	2761001000001109	livostin 0.5mg/ml eye drops
livostin 0.5mg/ml nasal spray	11046401000001116	2761301000001107	livostin 0.5mg/ml nasal spray
lobak tablet	4219201000001117	20201000001102	lobak tablet
locabiotal 125micrograms spray	4656601000001116	700201000001108	locabiotal 125micrograms spray
locabiotal 500micrograms cfc-free spray	11235701000001110	3330901000001104	locabiotal 500micrograms cfc-free spray
loceryl cream	10279801000001113	109301000001104	loceryl cream
loceryl nail lacquer	10342701000001119	183001000001101	loceryl nail lacquer
locobase cream	10502601000001117	1905801000001109	locobase cream
locobase ointment	10502701000001110	836401000001103	locobase ointment
locoid 0.1% cream	10279901000001119	187401000001103	locoid 0.1% cream
locorten-vioform ear drops	10786001000001112	413301000001101	locorten-vioform ear drops
lodiar 2mg capsule	6805601000001117	3028301000001100	lodiar 2mg capsule
lodine 200mg tablet	4262701000001117	90901000001100	lodine 200mg tablet
lodoxamide	107649001000001118	108859008	lodoxamide
loestrin 20 tablet	4313401000001112	168601000001104	loestrin 20 tablet
lofensaid 25 tablet	6315601000001117	2491701000001103	lofensaid 25 tablet
lofepramine	107706201000001118	321831005	lofepramine
lofexidine	107796001000001114	349934008	lofexidine
logiparin 2500iu/0.21ml prefilled syringe	4604401000001118	620801000001105	logiparin 2500iu/0.21ml prefilled syringe
logynon tablet	4448101000001113	382201000001109	logynon tablet
lomefloxacin	108114501000001114	96088001	lomefloxacin
lomexin 200mg pessary	6279001000001110	2447001000001103	lomexin 200mg pessary
lomexin 600mg pessary	6279101000001111	2447101000001102	lomexin 600mg pessary
lomont 70mg/5ml s/f suspension	6685601000001113	2893101000001106	lomont 70mg/5ml s/f suspension
lomotil tablet	4538901000001118	522601000001104	lomotil tablet
lomustine	107607601000001113	40999006	lomustine
loniten 2.5mg tablet	4585101000001117	592301000001102	loniten 2.5mg tablet
lopace 2.5mg capsule	13495701000001114	8449501000001107	lopace 2.5mg capsule
loperagen 2mg capsule	4960301000001119	1081301000001106	loperagen 2mg capsule
loperamide	107658101000001110	116726003	loperamide
lopid 300 capsule	4221001000001119	23601000001105	lopid 300 capsule
lopranol la 160mg m/r capsule	6268801000001115	2435401000001100	lopranol la 160mg m/r capsule
loprazolam	107700001000001114	321119005	loprazolam
lopresor 50mg tablet	4219501000001119	20601000001100	lopresor 50mg tablet
lopresoretic tablet	4263001000001112	91301000001107	lopresoretic tablet
loratadine	107643501000001113	108652002	loratadine
lorazepam	107597201000001119	19225000	lorazepam
lormetazepam	107634301000001117	96233008	lormetazepam
lornoxicam	107812101000001114	391655005	lornoxicam
loron 400mg capsule	4260901000001119	88201000001109	loron 400mg capsule
losartan	107635601000001112	96309000	losartan
losec 10mg capsule	6178101000001118	2327401000001102	losec 10mg capsule
lotharin tablet	6204301000001115	2357101000001107	lotharin tablet
lotriderm cream	10280101000001117	329101000001100	lotriderm cream
lotussin linctus	5808701000001116	1945401000001102	lotussin linctus
loxapac 10mg capsule	4315901000001119	172501000001108	loxapac 10mg capsule
loxapine	107617101000001118	59270007	loxapine
luborant spray	10788601000001115	770401000001100	luborant spray
lubrifilm eye ointment	10295101000001113	483201000001108	lubrifilm eye ointment
ludiomil 10mg tablet	4539201000001117	523001000001102	ludiomil 10mg tablet
lugacin 80mg/2ml injection	5838001000001110	1975001000001108	lugacin 80mg/2ml injection
lumigan 0.3mg/ml eye drops	12622201000001114	4086201000001103	lumigan 0.3mg/ml eye drops
luminal 15mg tablet	5825401000001113	1962301000001105	luminal 15mg tablet
lurselle 250mg tablet	4219601000001115	21001000001103	lurselle 250mg tablet
lustral 50mg tablet	4263101000001113	91701000001106	lustral 50mg tablet
lutropin alfa	107811801000001111	391621007	lutropin alfa
luveris 75iu injection (pdr for recon)+solvent	7708201000001113	4003001000001104	luveris 75iu injection (pdr for recon)+solvent
lyflex 5mg/5ml s/f oral solution	13514701000001118	8472001000001105	lyflex 5mg/5ml s/f oral solution
lymecycline	107632701000001112	96077007	lymecycline
lynoestrenol	108219801000001113	326328004	lynoestrenol
lypressin	108132101000001117	126191005	lypressin
lyrica 25mg capsule	13499801000001119	8454401000001106	lyrica 25mg capsule
lyrinel xl 5mg m/r tablet	61191401000001119	3770301000001103	lyrinel xl 5mg m/r tablet
lysovir 100mg capsule	7395801000001115	3665001000001109	lysovir 100mg capsule
m-eslon 100mg m/r capsule	6347501000001117	2531101000001101	m-eslon 100mg m/r capsule
m-eslon 10mg m/r capsule	6347201000001115	2530801000001100	m-eslon 10mg m/r capsule
m-eslon 30mg m/r capsule	6347301000001112	2530901000001106	m-eslon 30mg m/r capsule
m-eslon 60mg m/r capsule	6347401000001116	2531001000001102	m-eslon 60mg m/r capsule
maalox plus suspension	4704701000001118	775801000001105	maalox plus suspension
maalox tablet	4403701000001114	312801000001108	maalox tablet
macrobid 100mg m/r capsule	4357401000001113	240301000001101	macrobid 100mg m/r capsule
macrodantin 100mg capsule	4678601000001117	736001000001105	macrodantin 100mg capsule
macrodantin 50mg capsule	4634401000001110	665801000001109	macrodantin 50mg capsule
madopar 62.5 capsule	4221201000001113	24001000001100	madopar 62.5 capsule
madribon 500mg tablet	5841001000001119	1978001000001104	madribon 500mg tablet
mafee 5% eye drops	5872501000001118	2009501000001100	mafee 5% eye drops
mafenide	107627801000001119	84737005	mafenide
magaldrate	108061701000001111	43343000	magaldrate
magnapen 1g injection (pdr for recon)	4253901000001118	78401000001101	magnapen 1g injection (pdr for recon)
magnapen 500mg injection (pdr for recon)	4211401000001119	7701000001102	magnapen 500mg injection (pdr for recon)
magnapen capsule	4405601000001117	315601000001104	magnapen capsule
magnapen syrup	4247001000001110	66201000001105	magnapen syrup
magnesiocard 2.5mmol/614.8mg tablet	6677701000001117	2883401000001101	magnesiocard 2.5mmol/614.8mg tablet
magnesium carbonate	107591701000001117	7168001	magnesium carbonate
magnesium citrate	107594101000001115	12495006	magnesium citrate
magnesium hydroxide	107617501000001111	60468008	magnesium hydroxide
magnesium sulphate 50% retention enema	4425301000001115	346301000001108	magnesium sulphate 50% retention enema
magnesium trisilicate	107598101000001110	21691008	magnesium trisilicate
malarivon 80mg/5ml syrup	5844701000001119	1981701000001103	malarivon 80mg/5ml syrup
malarone paediatric tablet	12851801000001112	4221301000001100	malarone paediatric tablet
malarone tablet	6952901000001118	3181301000001107	malarone tablet
malatex cream	10501901000001117	1905101000001101	malatex cream
malatex solution	10501801000001111	836101000001109	malatex solution
malinal 500mg/5ml suspension	5779501000001113	1915801000001107	malinal 500mg/5ml suspension
malix 2.5mg tablet	4493301000001113	453101000001108	malix 2.5mg tablet
maloprim tablet	4585701000001116	593101000001106	maloprim tablet
mandafen 400mg tablet	12554701000001118	4129101000001100	mandafen 400mg tablet
mandalyn expectorant syrup	7722301000001113	4018101000001106	mandalyn expectorant syrup
mandalyn paediatric 6.25mg/5ml syrup	7722001000001110	4017601000001101	mandalyn paediatric 6.25mg/5ml syrup
mandanol 500mg tablet	7221801000001118	3469701000001106	mandanol 500mg tablet
mandanol 6+ paracetamol 250mg/5ml oral suspension	7721401000001111	4016701000001108	mandanol 6+ paracetamol 250mg/5ml oral suspension
mandanol infant paracetamol 120mg/5ml oral suspension	7721301000001115	4016601000001103	mandanol infant paracetamol 120mg/5ml oral suspension
manerix 150mg tablet	4632701000001114	663201000001109	manerix 150mg tablet
manevac granules	10497601000001113	1126101000001100	manevac granules
manoplax 50mg tablet	4677401000001119	733601000001109	manoplax 50mg tablet
mantadine 100mg capsule	4788601000001118	885401000001101	mantadine 100mg capsule
maprotiline	107603601000001116	32823007	maprotiline
marevan 0.5mg tablet	7296901000001114	3552701000001103	marevan 0.5mg tablet
marplan 10mg tablet	4448801000001117	383401000001103	marplan 10mg tablet
marsilid 25mg tablet	5818001000001115	1954701000001108	marsilid 25mg tablet
martindale methadone dtf 1mg/ml mixture	6338201000001117	2520801000001102	martindale methadone dtf 1mg/ml mixture
marvelon tablet	4493601000001119	453501000001103	marvelon tablet
masnoderm 1% cream	10790401000001117	469001000001102	masnoderm 1% cream
masse cream	10280301000001115	539601000001105	masse cream
masteril 100mg/1ml injection	5860601000001112	1997601000001104	masteril 100mg/1ml injection
maxalt 5mg tablet	7172801000001113	3414501000001100	maxalt 5mg tablet
maxepa 1g capsule	4450401000001119	385901000001108	maxepa 1g capsule
maxidex eye drops	10291001000001110	618401000001100	maxidex eye drops
maximet sr 75mg m/r capsule	6268601000001119	2435201000001104	maximet sr 75mg m/r capsule
maxitrol eye drops	10291101000001111	688901000001107	maxitrol eye drops
maxivent 100micrograms inhaler	4475401000001112	425501000001103	maxivent 100micrograms inhaler
maxivent 2.5mg/2.5ml steripoule	7274201000001116	3525901000001109	maxivent 2.5mg/2.5ml steripoule
maxolon 5mg tablet	6741701000001117	2956401000001106	maxolon 5mg tablet
maxtrex 2.5mg tablet	4586101000001112	593501000001101	maxtrex 2.5mg tablet
mazindol	107590101000001113	4194004	mazindol
mcr-50 m/r capsule	10328001000001115	311101000001106	mcr-50 m/r capsule
mebendazole	107614801000001116	56059005	mebendazole
mebeverine	107794601000001111	349819003	mebeverine
mebhydrolin	108181301000001115	320747007	mebhydrolin
mecillinam	108100201000001116	96063009	mecillinam
meclozine hydrochloride	14700401000001117	4428911000001107	meclozine hydrochloride
mecysteine	105032301000001116	349993000	mecysteine
medac lomustine 40mg capsule	61145501000001110	658501000001106	medac lomustine 40mg capsule
medazepam	108046801000001115	35967000	medazepam
medigoxin	108144401000001116	317911001	medigoxin
medihaler duo inhaler	5803801000001119	1940501000001109	medihaler duo inhaler
medihaler-epi 280micrograms inhaler	4567301000001110	565201000001103	medihaler-epi 280micrograms inhaler
medihaler-ergotamine 360micrograms inhaler	4614101000001114	634901000001107	medihaler-ergotamine 360micrograms inhaler
medihaler-iso 80micrograms inhaler	4659401000001110	704801000001103	medihaler-iso 80micrograms inhaler
medijel gel	11062501000001113	2806901000001104	medijel gel
medilave oral gel	10805001000001115	2364001000001108	medilave oral gel
medinex 10mg/5ml syrup	6311201000001117	2486101000001108	medinex 10mg/5ml syrup
medinol over six 250mg/5ml s/f suspension	6780101000001118	3000801000001100	medinol over six 250mg/5ml s/f suspension
medinol paediatric 120mg/5ml s/f suspension	6207201000001116	2360501000001109	medinol paediatric 120mg/5ml s/f suspension
medinol under six 120mg/5ml s/f suspension	4698701000001119	767101000001101	medinol under six 120mg/5ml s/f suspension
medised colour free s/f suspension	7263601000001111	3514701000001103	medised colour free s/f suspension
medised infant oral solution	7377701000001111	3643301000001101	medised infant oral solution
medised original suspension	5962801000001115	2100701000001109	medised original suspension
medised plain 120mg/5ml suspension	10822301000001118	2373201000001107	medised plain 120mg/5ml suspension
medised tablet	5822001000001114	1958801000001108	medised tablet
meditar 5% waxstick	10505001000001119	1906001000001107	meditar 5% waxstick
medocodeine tablet	4785501000001114	881701000001106	medocodeine tablet
medocodene 30/500 capsule	7426701000001119	3698001000001102	medocodene 30/500 capsule
medomet 250mg tablet	4263501000001115	92501000001109	medomet 250mg tablet
medrone 2mg tablet	4359201000001119	242801000001107	medrone 2mg tablet
medrone lotion	10522201000001114	1911901000001103	medrone lotion
medroxyprogest 80mg/ml suspension 100ml	4810601000001115	910201000001101	medroxyprogest 80mg/ml suspension 100ml
medroxyprogesterone	105028901000001115	36621009	medroxyprogesterone
mefenamic acid	107604201000001115	34364009	mefenamic acid
meflam 250 capsule	6263001000001119	2428801000001106	meflam 250 capsule
mefloquine	107629501000001113	87567009	mefloquine
mefoxin 1g injection (pdr for recon)	4303001000001116	154301000001106	mefoxin 1g injection (pdr for recon)
mefoxin 2g injection (pdr for recon)	4350001000001116	228301000001101	mefoxin 2g injection (pdr for recon)
mefruside	108144501000001117	317957004	mefruside
